subjectName,courseID,lecOrSection,enrollCode,days,time,location
ArtHistory,ARTHI 6DS,1,STURMAN P C,M W,2:00pm - 3:15pm,HSSB 1174
ArtHistory,ARTHI 6DS,0,61028,R,2:00pm - 2:50pm,ARTS 2324
ArtHistory,ARTHI 6DS,0,61036,R,3:00pm - 3:50pm,ARTS 2324
ArtHistory,ARTHI 6DS,0,61044,R,4:00pm - 4:50pm,ARTS 2324
ArtHistory,ARTHI 6DS,0,61051,R,5:00pm - 5:50pm,ARTS 2324
ArtHistory,ARTHI 6F,1,WITTMAN R K,T R,12:30pm - 1:45pm,HSSB 1174
ArtHistory,ARTHI 6F,0,61077,T,2:00pm - 2:50pm,ARTS 2324
ArtHistory,ARTHI 6F,0,61101,T,3:00pm - 3:50pm,ARTS 2324
ArtHistory,ARTHI 6F,0,61119,T,4:00pm - 4:50pm,ARTS 2324
ArtHistory,ARTHI 6F,0,61127,T,5:00pm - 5:50pm,ARTS 2324
ArtHistory,ARTHI 6J,1,WHITE J S,T R,5:00pm - 6:15pm,HSSB 1174
ArtHistory,ARTHI 6J,0,02105,R,11:00am - 11:50am,ARTS 1332
ArtHistory,ARTHI 6J,0,02113,R,12:00pm - 12:50pm,ARTS 1332
ArtHistory,ARTHI 6J,0,02121,R,1:00pm - 1:50pm,ARTS 1332
ArtHistory,ARTHI 6J,0,02139,R,2:00pm - 2:50pm,ARTS 1332
ArtHistory,ARTHI 109B,1,TRAVERS E M,T R,2:00pm - 3:15pm,ARTS 1341
ArtHistory,ARTHI 121D,1,OGBECHIE S O,T R,12:30pm - 1:45pm,ARTS 1341
ArtHistory,ARTHI 127A,1,OGBECHIE S O,T R,8:00 am - 9:15 am,ARTS 1341
ArtHistory,ARTHI 132J,1,KHOURY N N,T R,11:00am - 12:15pm,ARTS 1341
ArtHistory,ARTHI 134G,1,WATTLES M,M W,9:30 am - 10:45am,ARTS 1341
ArtHistory,ARTHI 134J,1,WATTLES M,M W,12:30pm - 1:45pm,ARTS 1341
ArtHistory,ARTHI 134K,1,STURMAN P C,M W,11:00am - 12:15pm,ARTS 1332
ArtHistory,ARTHI 136I,1,CHATTOPADHYAY,T R,9:30 am - 10:45am,ARTS 1341
ArtHistory,ARTHI 136M,1,WELTER V W,M W,2:00pm - 3:15pm,ARTS 1341
