,subjectName,courseID,lecOrSection,proName,enrollCode,days,time,location
128,Art(CreativeStudies),ART CS 125,1,T B A,,M,12:30pm - 2:50pm,ARTS 0641
129,ArtHistory,ARTHI 1,1,PAUL C,,M W,11:00am - 12:15pm,TD-W 1701
130,ArtHistory,ARTHI 1,0,PAUL C,1719,W,4:00pm - 4:50pm,ARTS 1332
131,ArtHistory,ARTHI 1,0,PAUL C,1727,W,5:00pm - 5:50pm,ARTS 1332
132,ArtHistory,ARTHI 1,0,PAUL C,1735,T,9:00 am - 9:50 am,ARTS 2324
133,ArtHistory,ARTHI 1,0,PAUL C,1743,T,10:00am - 10:50am,ARTS 2324
134,ArtHistory,ARTHI 1,0,PAUL C,1750,T,11:00am - 11:50am,ARTS 2324
135,ArtHistory,ARTHI 1,0,PAUL C,1768,T,12:00pm - 12:50pm,ARTS 2324
136,ArtHistory,ARTHI 1,0,PAUL C,1776,R,1:00pm - 1:50pm,ARTS 2622
137,ArtHistory,ARTHI 6B,1,MEADOW M A,,T R,2:00pm - 3:15pm,IV THEA1
138,ArtHistory,ARTHI 6B,0,MEADOW M A,1842,R,9:00 am - 9:50 am,ARTS 2324
139,ArtHistory,ARTHI 6B,0,MEADOW M A,1867,W,12:00pm - 12:50pm,ARTS 2324
140,ArtHistory,ARTHI 6B,0,MEADOW M A,1875,W,5:00pm - 5:50pm,ARTS 2324
141,ArtHistory,ARTHI 6B,0,MEADOW M A,1883,W,8:00 am - 8:50 am,ARTS 2324
142,ArtHistory,ARTHI 6B,0,MEADOW M A,1891,W,9:00 am - 9:50 am,ARTS 2324
143,ArtHistory,ARTHI 6B,0,MEADOW M A,1909,W,10:00am - 10:50am,ARTS 2324
144,ArtHistory,ARTHI 6B,0,MEADOW M A,1917,W,11:00am - 11:50am,ARTS 2324
145,ArtHistory,ARTHI 6B,0,MEADOW M A,1925,R,12:00pm - 12:50pm,ARTS 2324
146,ArtHistory,ARTHI 6B,0,MEADOW M A,1941,W,2:00pm - 2:50pm,ARTS 2324
147,ArtHistory,ARTHI 6B,0,MEADOW M A,1958,W,3:00pm - 3:50pm,ARTS 2324
148,ArtHistory,ARTHI 6B,0,MEADOW M A,1966,W,4:00pm - 4:50pm,ARTS 2324
149,ArtHistory,ARTHI 6B,0,MEADOW M A,1974,R,8:00 am - 8:50 am,ARTS 2324
150,ArtHistory,ARTHI 6B,0,MEADOW M A,1982,R,10:00am - 10:50am,ARTS 2324
151,ArtHistory,ARTHI 6B,0,MEADOW M A,1990,R,11:00am - 11:50am,ARTS 2324
152,ArtHistory,ARTHI 6B,0,MEADOW M A,2030,W,1:00pm - 1:50pm,ARTS 2324
153,ArtHistory,ARTHI 6B,0,MEADOW M A,62166,W,1:00pm - 1:50pm,ARTS 1332
154,ArtHistory,ARTHI 6DS,1,STURMAN P C,,M W,2:00pm - 3:15pm,HSSB 1174
